timestamp,x,y,z
2014-01-01T00:00:00,1388.5146,1388.5146,-1388.5146
2014-01-01T06:00:00,1388.5362,1388.5362,-1388.5362
2014-01-01T12:00:00,1388.5578,1388.5578,-1388.5578
2014-01-01T18:00:00,1388.5793999999999,1388.5793999999999,-1388.5793999999999
2014-01-02T00:00:00,1388.6009999999999,1388.6009999999999,-1388.6009999999999
2014-01-02T06:00:00,1388.6226,1388.6226,-1388.6226
2014-01-02T12:00:00,1388.6442,1388.6442,-1388.6442
2014-01-02T18:00:00,1388.6658,1388.6658,-1388.6658
2014-01-03T00:00:00,1388.6874,1388.6874,-1388.6874
2014-01-03T06:00:00,1388.7089999999998,1388.7089999999998,-1388.7089999999998
2014-01-03T12:00:00,1388.7305999999999,1388.7305999999999,-1388.7305999999999
2014-01-03T18:00:00,1388.7522,1388.7522,-1388.7522
2014-01-04T00:00:00,1388.7738,1388.7738,-1388.7738
2014-01-04T06:00:00,1388.7954,1388.7954,-1388.7954
2014-01-04T12:00:00,1388.817,1388.817,-1388.817
2014-01-04T18:00:00,1388.8386,1388.8386,-1388.8386
2014-01-05T00:00:00,1388.8601999999998,1388.8601999999998,-1388.8601999999998
2014-01-05T06:00:00,1388.8817999999999,1388.8817999999999,-1388.8817999999999
2014-01-05T12:00:00,1388.9034,1388.9034,-1388.9034
2014-01-05T18:00:00,1388.925,1388.925,-1388.925
2014-01-06T00:00:00,1388.9466,1388.9466,-1388.9466
2014-01-06T06:00:00,1388.9682,1388.9682,-1388.9682
2014-01-06T12:00:00,1388.9897999999998,1388.9897999999998,-1388.9897999999998
2014-01-06T18:00:00,1389.0113999999999,1389.0113999999999,-1389.0113999999999
2014-01-07T00:00:00,1389.033,1389.033,-1389.033
2014-01-07T06:00:00,1389.0546,1389.0546,-1389.0546
2014-01-07T12:00:00,1389.0762,1389.0762,-1389.0762
2014-01-07T18:00:00,1389.0978,1389.0978,-1389.0978
2014-01-08T00:00:00,1389.1194,1389.1194,-1389.1194
2014-01-08T06:00:00,1389.1409999999998,1389.1409999999998,-1389.1409999999998
